n,exact_agreement,cohen_kappa,gwet_ac1,gwet_ac2_quadratic,human_tie_rate,llm_tie_rate,tie_rate_diff_llm_minus_human,hum_vs_llm_n,human_prefers_llm_rate_in_hum_vs_llm,llm_prefers_llm_rate_in_hum_vs_llm,model,Expert_ID
135,0.2962962962962963,0.012930039251904862,-0.03558955931929675,0.016689060179619183,0.42962962962962964,0.0,-0.42962962962962964,108,0.5967741935483871,0.6296296296296297,claude,E01
135,0.4074074074074074,0.014058791309110877,0.1612953327638425,0.023298589822195178,0.2,0.007407407407407408,-0.1925925925925926,108,0.6091954022988506,0.7129629629629629,claude,E02
135,0.4666666666666667,-0.05047011779963253,0.28572740800617275,-0.05369499031275952,0.014814814814814815,0.0,-0.014814814814814815,108,0.48598130841121495,0.6666666666666666,claude,E03
135,0.45185185185185184,0.024509325261204962,0.2398561890087314,0.03508771929824552,0.11851851851851852,0.014814814814814815,-0.10370370370370371,108,0.5376344086021505,0.6851851851851852,claude,E04
135,0.3851851851851852,-0.014394350896252,0.12943827208453115,-0.024856128321292654,0.2,0.007407407407407408,-0.1925925925925926,108,0.5057471264367817,0.7129629629629629,claude,E05
135,0.32592592592592595,0.05230270770654944,0.005605358479875408,0.09388095776313267,0.4222222222222222,0.0,-0.4222222222222222,108,0.5238095238095238,0.6574074074074074,claude,E06
135,0.3111111111111111,-0.04407484407484413,0.0007362158505283032,-0.07050204767576511,0.31851851851851853,0.0,-0.31851851851851853,108,0.5394736842105263,0.6481481481481481,claude,E07
135,0.5185185185185185,0.16157080068794197,0.3290130182944313,0.1982896846606094,0.14074074074074075,0.007407407407407408,-0.13333333333333333,108,0.5274725274725275,0.6296296296296297,claude,E08
135,0.4444444444444444,-0.03189971463514066,0.24067720344226332,-0.03421562298256946,0.07407407407407407,0.007407407407407408,-0.06666666666666667,108,0.5050505050505051,0.6851851851851852,claude,E09
135,0.4962962962962963,0.008639308855291544,0.3250992501102779,0.007462686567164079,0.0,0.014814814814814815,0.014814814814814815,108,0.49074074074074076,0.7777777777777778,claude,E10
135,0.6592592592592592,0.319078947368421,0.5456623927715691,0.3222008016532364,0.007407407407407408,0.0,-0.007407407407407408,108,0.6074766355140186,0.75,claude,E11
135,0.2518518518518518,-0.026036571600571892,-0.10846899579293943,-0.042845594179466526,0.45925925925925926,0.007407407407407408,-0.45185185185185184,108,0.5423728813559322,0.7129629629629629,claude,E12
135,0.3925925925925926,-0.024715356845320644,0.14466186327725086,-0.03266867223994314,0.18518518518518517,0.0,-0.18518518518518517,108,0.5232558139534884,0.7407407407407407,claude,E13
135,0.362962962962963,0.0025773195876288893,0.08561077419862961,-0.008610864885399649,0.26666666666666666,0.0,-0.26666666666666666,108,0.4675324675324675,0.6944444444444444,claude,E14
135,0.45185185185185184,-0.014316174230886285,0.25018295085658526,-0.016156036690946098,0.07407407407407407,0.007407407407407408,-0.06666666666666667,108,0.4854368932038835,0.7222222222222222,claude,E15
135,0.2814814814814815,0.019394937846338212,-0.0648722275305454,0.03573159132104606,0.4666666666666667,0.0,-0.4666666666666667,108,0.4482758620689655,0.7592592592592593,claude,E16
135,0.2740740740740741,-0.078503301540719,-0.054372297822318706,-0.14768197681149833,0.3333333333333333,0.0,-0.3333333333333333,108,0.410958904109589,0.6759259259259259,claude,E17
